pathway,gene
GO:0003002,Vitvi05_01chr09g17310
GO:0003002,Vitvi05_01chr09g10950
GO:0003002,Vitvi05_01chr06g19030
GO:0003002,Vitvi05_01chr09g17580
GO:0003002,Vitvi05_01chr02g01790
GO:0003002,Vitvi05_01chr13g20290
GO:0003002,Vitvi05_01chr09g17280
GO:0003002,Vitvi05_01chr10g16080
GO:0003002,Vitvi05_01chr01g17480
GO:0003002,Vitvi05_01chr13g05580
GO:0003002,Vitvi05_01chr17g03010
GO:0003002,Vitvi05_01chr07g07810
GO:0003002,Vitvi05_01chr05g21300
GO:0003002,Vitvi05_01chr19g02580
GO:0003002,Vitvi05_01chr18g06080
GO:0003002,Vitvi05_01chr06g02900
GO:0003002,Vitvi05_01chr07g23510
GO:0003002,Vitvi05_01chr07g23460
GO:0003002,Vitvi05_01chr18g10380
GO:0003002,Vitvi05_01chr09g17350
GO:0003002,Vitvi05_01chr18g28080
GO:0003002,Vitvi05_01chr09g19530
GO:0003002,Vitvi05_01chr09g19570
GO:0003002,Vitvi05_01chr09g19950
GO:0003002,Vitvi05_01chr07g16170
GO:0003002,Vitvi05_01chr16g02840
GO:0003002,Vitvi05_01chr01g16720
GO:0003002,Vitvi05_01chr10g22110
GO:0003002,Vitvi05_01chr01g23240
GO:0003002,Vitvi05_01chr19g21540
GO:0003002,Vitvi05_01chr01g21530
GO:0003774,Vitvi05_01chr06g05760
GO:0003774,Vitvi05_01chr03g00310
GO:0003774,Vitvi05_01chr18g15820
GO:0003774,Vitvi05_01chr04g19850
GO:0003774,Vitvi05_01chr14g04090
GO:0003774,Vitvi05_01chr07g25210
GO:0003774,Vitvi05_01chr18g17170
GO:0003774,Vitvi05_01chr02g04080
GO:0003774,Vitvi05_01chr08g22180
GO:0003774,Vitvi05_01chr04g25430
GO:0003774,Vitvi05_01chr19g11510
GO:0003774,Vitvi05_01chr14g01890
GO:0003774,Vitvi05_01chr05g03800
GO:0003774,Vitvi05_01chr03g07320
GO:0003774,Vitvi05_01chr07g11040
GO:0003774,Vitvi05_01chr03g00580
GO:0003774,Vitvi05_01chr18g11310
GO:0003774,Vitvi05_01chr02g06260
GO:0003774,Vitvi05_01chr18g03820
GO:0003774,Vitvi05_01chr09g02260
GO:0003774,Vitvi05_01chr11g04700
GO:0003774,Vitvi05_01chr05g16600
GO:0003774,Vitvi05_01chr18g36430
GO:0003774,Vitvi05_01chr10g24550
GO:0003774,Vitvi05_01chr07g24640
GO:0003774,Vitvi05_01chr05g04440
GO:0003774,Vitvi05_01chr08g13770
GO:0003774,Vitvi05_01chr08g20200
GO:0003774,Vitvi05_01chr09g05250
GO:0003774,Vitvi05_01chr19g18130
GO:0003774,Vitvi05_01chr19g04950
GO:0003774,Vitvi05_01chr14g06820
GO:0003774,Vitvi05_01chr04g02240
GO:0003774,Vitvi05_01chr19g09790
GO:0003774,Vitvi05_01chr08g03040
GO:0003777,Vitvi05_01chr06g05760
GO:0003777,Vitvi05_01chr03g00310
GO:0003777,Vitvi05_01chr18g15820
GO:0003777,Vitvi05_01chr04g19850
GO:0003777,Vitvi05_01chr14g04090
GO:0003777,Vitvi05_01chr07g25210
GO:0003777,Vitvi05_01chr18g17170
GO:0003777,Vitvi05_01chr02g04080
GO:0003777,Vitvi05_01chr08g22180
GO:0003777,Vitvi05_01chr04g25430
